"","","","104","Round","1830","0.72","Ideal","E","VS2","2541.6666666667","","","104","Round","375","0.72","Ideal","SI1","E","520.83333333333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","105","Round","1910","0.75","Ideal","E","VS2","2546.6666666667","","","105","Round","397","0.81","Ideal","SI1","E","490.12345679012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","106","Round","2180","0.80","Ideal","E","VS2","2725","","","106","Round","412","0.83","Ideal","SI1","E","496.38554216867","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","107","Round","4420","0.85","Ideal","E","VS2","5200","","","107","Round","367","0.87","Ideal","SI1","F","421.83908045977","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","108","Round","1470","0.70","Ideal","F","VS2","2100","","","108","Round","360","0.81","Ideal","SI1","F","444.44444444444","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","109","Round","1670","0.76","Ideal","F","VS2","2197.3684210526","","","109","Round","370","0.72","Ideal","SI1","F","513.88888888889","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","110","Round","2150","0.79","Ideal","F","VS2","2721.5189873418","","","110","Round","0","0.00","Ideal","SI1","G","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","111","Round","2270","0.81","Ideal","F","VS2","2802.4691358025","","","111","Round","0","0.00","Ideal","SI1","G","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","112","Round","4230","0.89","Ideal","F","VS2","4752.808988764","","","112","Round","0","0.00","Ideal","SI1","G","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","113","Round","1590","0.70","Ideal","G","VS2","2271.4285714286","","","113","Round","380","0.70","Ideal","SI1","H","542.85714285714","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","114","Round","1870","0.74","Ideal","G","VS2","2527.027027027","","","114","Round","0","0.00","Ideal","SI1","H","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","115","Round","2460","0.77","Ideal","G","VS2","3194.8051948052","","","115","Round","0","0.00","Ideal","SI1","H","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","116","Round","3280","0.87","Ideal","G","VS2","3770.1149425287","","","116","Round","0","0.00","Ideal","SI1","I","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","117","Round","1510","0.71","Ideal","H","VS2","2126.7605633803","","","117","Round","0","0.00","Ideal","SI1","I","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","118","Round","1900","0.77","Ideal","H","VS2","2467.5324675325","","","118","Round","0","0.00","Ideal","SI1","I","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","119","Round","1950","0.82","Ideal","H","VS2","2378.0487804878","","","119","Round","410","0.70","Ideal","SI1","J","585.71428571429","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
